model,score,alpha,fpr_digit,tpr_gauss,tpr_shuffle,auc_gauss,auc_shuffle,frac_digit_singleton,frac_gauss_has_digit,frac_shuffle_has_digit,frac_gauss_singleton,frac_shuffle_singleton,lda_w_cover,lda_w_entropy,lda_bias
digits,cover,0.05,0.08,1.0,1.0,0.99938125,1.0,0.945,0.0,0.0,0.9625,0.975,0.7026944756507874,0.7114917039871216,-2.979267927821919
digits,affinity_entropy,0.05,0.04,0.995,0.9425,0.9992562500000001,0.9918875,0.9175,0.0075,0.1125,0.265,0.0,0.7026944756507874,0.7114917039871216,-2.979267927821919
digits,lda,0.05,0.0325,1.0,1.0,0.9998375,1.0,0.9725,0.005,0.0,0.2975,0.66,0.7026944756507874,0.7114917039871216,-2.979267927821919
digits_ood_basin_dual,cover,0.05,0.0675,0.905,1.0,0.98148125,1.0,0.7675,0.1275,0.0,0.86,0.9625,0.1538209617137909,0.9880987405776978,-4.791271531531976
digits_ood_basin_dual,affinity_entropy,0.05,0.0525,0.9925,0.9425,0.9970312499999999,0.98741875,0.9325,0.0425,0.23,0.355,0.0,0.1538209617137909,0.9880987405776978,-4.791271531531976
digits_ood_basin_dual,lda,0.05,0.0425,0.9975,1.0,0.99936875,1.0,0.9475,0.005,0.0,0.9175,0.91,0.1538209617137909,0.9880987405776978,-4.791271531531976
